,job_title,publish,company,city,description,link,website,date,search_title
0,"IT Security Engineer | Linux, Windows | bis. 80.000€ p.a. | 100% Home-Office mögl. (mwd)",Vor 1 Stunde,Vesterling AG,Dortmund,"oder einer vergleichbar geeigneten Fachrichtung Interesse oder Berufserfahrung im Bereich der IT-Security Themen wie Firewalls, Antivirus / Antispam, IDS / IPS, Data",https://www.xing.com/jobs/dortmund-it-security-engineer-linux-windows-80-000-100-home-office-moegl-mwd-102943684,xing,2023-06-02 12:20:20,Data Engineer
1,API - Programmierschnittstellenentwickler & DevOps Engineer m/w/d - Remote,Vor 6 Stunden,PBCN GmbH - Personalberatung Christmann/Nowack,Paderborn,Konzeptionierung von technischen Lösungsarchitekturen Sie entwickeln APIs zur Sicherstellung einer performanten Datenbereitstellung aus der Unternehmens-Cloud Data,https://www.xing.com/jobs/paderborn-api-programmierschnittstellenentwickler-devops-engineer-remote-102928327,xing,2023-06-02 12:20:20,Data Engineer
2,R&D Data Engineer (m/f/d),Vor 13 Stunden,YARA GmbH & Co. KG,Dülmen,"You shall report to Senior Data Engineer, Agronomic Analytics and Modelling group.",https://www.xing.com/jobs/duelmen-data-engineer-102921009,xing,2023-06-02 12:20:20,Data Engineer
3,Project Engineer (m/f/d) - Human System Interface,Vor 15 Stunden,ABB Deutschland,Minden,ABB AG Your contact is: ABB PersonalDirekt +49 (0) 621 381 3500 ABB Data Privacy Statement: https://new.abb.com/privacy-notice/candidate,https://www.xing.com/jobs/minden-project-engineer-human-system-interface-95993013,xing,2023-06-02 12:20:20,Data Engineer
4,Big Data Engineer (m/w/d),Gestern,ORDIX AG,Münster,"Ihre Aufgaben Zu Ihren Aufgaben gehören die Beratung, der Betrieb und die Problemanalyse einer Big Data Plattform im Hadoop Umfeld Sie administrieren und konfigurieren",https://www.xing.com/jobs/muenster-big-data-engineer-102884732,xing,2023-06-02 12:20:20,Data Engineer
5,Testingenieur (m/w/d) Function & Safety,Gestern,ZF Group,Stemwede,"Stellensegment: R&D Engineer, R&D, Systems Engineer, Safety, Engineering, Research, Service",https://www.xing.com/jobs/stemwede-testingenieur-function-safety-101063597,xing,2023-06-02 12:20:20,Data Engineer
6,"DevOps Profi | LINUX, Docker, Kubernetes, ansible, puppet | Inhouse, bis 90 T€ (mwd)",Vor 3 Tagen,Vesterling AG,Dortmund,"KVM und Container-Technologien (Docker, LXC) Erfahrungen und Kenntnisse im Cloud-affinen skalierten Produktivbetrieb für Software-Entwicklung, AI-Modelling, Big Data",https://www.xing.com/jobs/dortmund-devops-profi-linux-docker-kubernetes-ansible-puppet-inhouse-90-mwd-102819188,xing,2023-06-02 12:20:20,Data Engineer
7,IT System Engineer mit Schwerpunkt Virtualisierung,Vor 3 Tagen,CEP GmbH Personalmanagement,"Dortmund, Herne",für die Optimierung der IT Infrastruktur Deiner mittelständischen Kunden verantwortlich Du implementierst neue IT-Lösungen in diversen Projekten Deiner Kunden (Data,https://www.xing.com/jobs/dortmund-herne-it-system-engineer-schwerpunkt-virtualisierung-102803119,xing,2023-06-02 12:20:20,Data Engineer
8,SoftwareentwicklerIn Backend (m/w/d) Vollzeit / Teilzeit / Remote,Vor 3 Tagen,logarithmo GmbH & Co. KG,Dortmund,"Aufgaben Du arbeitest in einem interdisziplinären und agilen Entwicklungsteam mit Data Scientists, Ingenieure/-innen, Informatiker/-innen und Mathematiker/-innen",https://www.xing.com/jobs/dortmund-softwareentwicklerin-backend-vollzeit-teilzeit-remote-102800352,xing,2023-06-02 12:20:20,Data Engineer
9,Data Engineer (m/w/d),Vor 4 Tagen,inserve GmbH,Osnabrück,Als Data Engineer (m/w/d) bei der inserve schaffst du durch deine Datenaufbereitung die Grundlage für die Analyseprojekte deiner Teammitglieder und stellst so den,https://www.xing.com/jobs/osnabrueck-data-engineer-102782517,xing,2023-06-02 12:20:20,Data Engineer
10,"Support Engineer – IT-Servicedesk (2nd Level Support) Professional (m/w/d) Schwerpunkt Linux/Unix, SAP Basis, Windows, Security oder Netzwerk | Bielefeld",Vor 6 Tagen,OEDIV Oetker Daten- und Informationsverarbeitung KG,Bielefeld,"AIX, im Security Umfeld (SSL / Proxy / Message Tracking) und/oder in SAP erleichtern Dir den Einstieg Du besitzt ein fundiertes Verständnis für Abläufe in einem Data",https://www.xing.com/jobs/bielefeld-support-engineer-it-servicedesk-2nd-level-support-professional-schwerpunkt-linux-unix-sap-basis-windows-security-netzwerk-bielefeld-95718016,xing,2023-06-02 12:20:20,Data Engineer
11,Support Engineer – IT-Servicedesk (2nd Level Support) Junior (m/w/d) | Bielefeld,Vor 6 Tagen,OEDIV Oetker Daten- und Informationsverarbeitung KG,Bielefeld,", VMWare) und Kenntnisse zu Betriebssystemen wie Windows und/oder im Security Umfeld (SSL / Proxy / Message Tracking) mit Erste Kenntnisse zu Abläufen in einem Data",https://www.xing.com/jobs/bielefeld-support-engineer-it-servicedesk-2nd-level-support-junior-bielefeld-95717971,xing,2023-06-02 12:20:20,Data Engineer
12,Data Engineer (m/w/d),Vor 6 Tagen,Alexander Thamm GmbH,Allendorf,"Mind. 2 Jahre Berufserfahrung als Software Engineer, Softwareentwickler:in, Data Engineer oder ähnlichem Berufsfeld Sehr gute Kenntnisse der Programmiersprachen",https://www.xing.com/jobs/allendorf-data-engineer-102671753,xing,2023-06-02 12:20:20,Data Engineer
13,Teamlead Delivery - Schwerpunkt Data Engineering (m/w/d),Vor 6 Tagen,Alexander Thamm GmbH,Allendorf,"Berufserfahrung als Software Engineer, Softwareentwickler:in, Data Engineer oder ähnlichem - möglichst im Consulting-Bereich Zusätzlich mind. drei Jahre Berufserfahrung",https://www.xing.com/jobs/allendorf-teamlead-delivery-schwerpunkt-data-engineering-102671744,xing,2023-06-02 12:20:20,Data Engineer
14,Senior Data Engineer (m/w/d),Vor 6 Tagen,Alexander Thamm GmbH,Allendorf,"Berufserfahrung als Software Engineer, Softwareentwickler:in, Data Engineer oder ähnlichem Berufsfeld Sehr gute Kenntnisse der Programmiersprachen Python, Java",https://www.xing.com/jobs/allendorf-senior-data-engineer-102671751,xing,2023-06-02 12:20:20,Data Engineer
15,Data Engineer / Cloud Engineer (m/w/d),Vor 6 Tagen,Alexander Thamm GmbH,Allendorf,Deine Aufgaben Data und AI sind dein zu Hause?,https://www.xing.com/jobs/allendorf-data-engineer-cloud-engineer-102671739,xing,2023-06-02 12:20:20,Data Engineer
16,Expert Data Engineer (m/w/d),Vor 6 Tagen,Alexander Thamm GmbH,Allendorf,"Berufserfahrung als Software Engineer, Softwareentwickler:in, Data Engineer oder ähnlichem Berufsfeld Sehr gute Kenntnisse der Programmiersprachen Python, Java",https://www.xing.com/jobs/allendorf-expert-data-engineer-102671741,xing,2023-06-02 12:20:20,Data Engineer
17,Data Engineer (m/w/d) - Fokus Cloud Engineering,Vor 6 Tagen,Alexander Thamm GmbH,Allendorf,Wir bieten Data bewegt uns!,https://www.xing.com/jobs/allendorf-data-engineer-fokus-cloud-engineering-102671747,xing,2023-06-02 12:20:20,Data Engineer
18,Data Visualization Engineer - Fokus Qlik (m/w/d),Vor 6 Tagen,Alexander Thamm GmbH,Allendorf,Deine Aufgaben Data und AI sind dein zu Hause?,https://www.xing.com/jobs/allendorf-data-visualization-engineer-fokus-qlik-102671742,xing,2023-06-02 12:20:20,Data Engineer
19,Security Engineer Endpoint Protection (m/w/d),Vor 7 Tagen,pco GmbH & Co. KG,Osnabrück,"Gute Kenntnisse der Produkte Data Loss Prevention, AntiVirus, Desktop Firewall und Host Intrusion Prevention.",https://www.xing.com/jobs/osnabrueck-security-engineer-endpoint-protection-102634702,xing,2023-06-02 12:20:20,Data Engineer
