,job_title,publish,company,city,description,link,website,date,search_title
0,"Research Assistant (m/w/d), EG 13 TV-H; in the Department of Civil and Environmental Engineering, Institute of Structural Engineering - Geotechnical Engineering",Gerade eben,Universität Kassel,Kassel,Your personal data will be deleted.,https://www.xing.com/jobs/kassel-research-assistant-13-tv-department-civil-environmental-engineering-institute-structural-engineering-geotechnical-engineering-100095183,xing,2023-04-20 12:19:18,Data Engineer
1,Data Engineer (m/w/d) - hybrid,Gerade eben,AIM - Agile IT Management GmbH,Osnabrück,Als Data Engineer (m/w/d) bei AIM schaffst du durch deine Datenaufbereitung die Grundlage für die Analyseprojekte deiner Teammitglieder und stellst so den Data Stream,https://www.xing.com/jobs/osnabrueck-data-engineer-hybrid-100094470,xing,2023-04-20 12:19:18,Data Engineer
2,24573 - IT System Engineer (m/w/d),Gerade eben,CEP GmbH Personalmanagement,Dortmund,für die Optimierung der IT Infrastruktur Deiner mittelständischen Kunden verantwortlich Du implementierst neue IT-Lösungen in diversen Projekten Deiner Kunden (Data,https://www.xing.com/jobs/dortmund-24573-it-system-engineer-100094002,xing,2023-04-20 12:19:18,Data Engineer
3,IT-Data Engineer (gn),Vor 2 Stunden,Westfalen Weser,Herford,"Zementtechnologie Ihr Profil Hohe Motivation und Begeisterung für unseren Baustoff Erfolgreich abgeschlossene Ausbildung als Baustoffprüfer oder Studium des Bauingenieurwesen, Werkstoffkunde",https://www.xing.com/jobs/herford-it-data-engineer-gn-100092235,xing,2023-04-20 12:19:18,Data Engineer
4,Betontechnologe / QM-Manager (m/w/d),Vor 11 Stunden,Spenner Syston,Bielefeld,Du setzt kundenindividuelle Lösungen mit Big Data und Public Cloud Technologien um. Du wirkst bei Lösungsarchitekturen und der Herstellung von Deployments mit.,https://www.xing.com/jobs/bielefeld-betontechnologe-qm-manager-100082540,xing,2023-04-20 12:19:18,Data Engineer
5,Data Engineer (m/w/d),Vor 11 Stunden,ISR Information Products AG,Münster,"Business Units und Fachbereichen die Roadmap für die nächsten Jahre Dazu erarbeiten Sie einen strukturellen und prozessualen Rahmen, in denen sich KI-Entwickler, Data",https://www.xing.com/jobs/muenster-data-engineer-100080435,xing,2023-04-20 12:19:18,Data Engineer
6,Artificial Intelligence Manager (m/w/d),Vor 15 Stunden,Kontakttechnik GmbH & Co. KG,Minden,"Monitoring, Big Data sowie nachhaltige und digitale Bauwerksüberwachung.",https://www.xing.com/jobs/minden-artificial-intelligence-manager-97232978,xing,2023-04-20 12:19:18,Data Engineer
7,Professur für „Bauinformatik im konstruktiven Ingenieurbau“,Gestern,FH Münster,Münster,You have several years of profes-sional experience in construction in-formatics and structural engineer-ing.,https://www.xing.com/jobs/muenster-professur-bauinformatik-konstruktiven-ingenieurbau-100051792,xing,2023-04-20 12:19:18,Data Engineer
8,Professorship in “Construction Informatics in Structural Engineering” at the Department of Civil Engineering,Gestern,FH Münster,Münster,"In deinem Team aus Softwareentwickler:innen, POs, Data Scientists und Expert:innen im Bereich UX/UI-Design und -Entwicklung übernimmst du die DevOps-Aufgaben.",https://www.xing.com/jobs/muenster-professorship-construction-informatics-structural-engineering-department-civil-engineering-100051790,xing,2023-04-20 12:19:18,Data Engineer
9,DevOps Engineer - Industrielle KI (m/w/d),Gestern,AIM - Agile IT Management GmbH,Osnabrück,Als Data Engineer (m/w/d) bei der inserve schaffst du durch deine Datenaufbereitung die Grundlage für die Analyseprojekte deiner Teammitglieder und stellst so den,https://www.xing.com/jobs/osnabrueck-devops-engineer-industrielle-ki-100028226,xing,2023-04-20 12:19:18,Data Engineer
10,Data Engineer (m/w/d),Gestern,inserve GmbH,Osnabrück,Als DevOps Engineer leisten Sie hier Beratung in Kundenprojekten bei einem innovativem Start-up.,https://www.xing.com/jobs/osnabrueck-data-engineer-100027958,xing,2023-04-20 12:19:18,Data Engineer
11,"DevOps Engineer | Big Data, LINUX, DevOps, JAVA, Cloud | bis 100% Home-Office mögl. (mwd)",Vor 2 Tagen,Vesterling AG,Dortmund,"Sie installieren, konfigurieren und monitoren BI/Big Data Anwendungen.",https://www.xing.com/jobs/dortmund-devops-engineer-big-data-linux-devops-java-cloud-100-home-office-moegl-mwd-100005689,xing,2023-04-20 12:19:18,Data Engineer
12,"APEX / ORACLE Software Developer | Forms, Reports, Implementierung | Home-Office möglich (mwd)",Vor 2 Tagen,Vesterling AG,Dortmund,"Sie installieren, konfigurieren und monitoren BI/Big Data Anwendungen.",https://www.xing.com/jobs/dortmund-apex-oracle-software-developer-forms-reports-implementierung-home-office-mwd-100003371,xing,2023-04-20 12:19:18,Data Engineer
13,"APEX / ORACLE Software Developer | Forms, Reports, Implementierung | Home-Office möglich (mwd)",Vor 2 Tagen,Vesterling AG,Bochum,Als Linux Systems Engineer betreiben Sie bei einem etablierten IT-Beratungshaus Lösungen für SAS Business Intelligence und Big Data.,https://www.xing.com/jobs/bochum-apex-oracle-software-developer-forms-reports-implementierung-home-office-mwd-100003370,xing,2023-04-20 12:19:18,Data Engineer
14,"SAS Administrator | SAS Analytics Software, Linux, Java-Stack, Big Data | Inhouse (mwd)",Vor 2 Tagen,Vesterling AG,Dortmund,Als Linux Systems Engineer betreiben Sie bei einem etablierten IT-Beratungshaus Lösungen für SAS Business Intelligence und Big Data.,https://www.xing.com/jobs/dortmund-sas-administrator-sas-analytics-software-linux-java-stack-big-data-inhouse-mwd-100002660,xing,2023-04-20 12:19:18,Data Engineer
15,"SAS Administrator | SAS Analytics Software, Linux, Java-Stack, Big Data | Inhouse (mwd)",Vor 2 Tagen,Vesterling AG,Paderborn,für die Optimierung der IT Infrastruktur Deiner mittelständischen Kunden verantwortlich Du implementierst neue IT-Lösungen in diversen Projekten Deiner Kunden (Data,https://www.xing.com/jobs/paderborn-sas-administrator-sas-analytics-software-linux-java-stack-big-data-inhouse-mwd-100002655,xing,2023-04-20 12:19:18,Data Engineer
16,"Linux-Systemadministrator | Anwendungsbetrieb im Java-Umfeld, BI, Big Data (mwd)",Vor 2 Tagen,Vesterling AG,Paderborn,"oder einer vergleichbar geeigneten Fachrichtung Interesse oder Berufserfahrung im Bereich der IT-Security Themen wie Firewalls, Antivirus / Antispam, IDS / IPS, Data",https://www.xing.com/jobs/paderborn-linux-systemadministrator-anwendungsbetrieb-java-umfeld-bi-big-data-mwd-100002650,xing,2023-04-20 12:19:18,Data Engineer
17,"Linux-Systemadministrator | Anwendungsbetrieb im Java-Umfeld, BI, Big Data (mwd)",Vor 2 Tagen,Vesterling AG,Dortmund,,https://www.xing.com/jobs/dortmund-linux-systemadministrator-anwendungsbetrieb-java-umfeld-bi-big-data-mwd-100002647,xing,2023-04-20 12:19:18,Data Engineer
18,IT System Engineer mit Schwerpunkt Virtualisierung,Vor 2 Tagen,CEP GmbH Personalmanagement,"Dortmund, Herne",,https://www.xing.com/jobs/dortmund-herne-it-system-engineer-schwerpunkt-virtualisierung-100002608,xing,2023-04-20 12:19:18,Data Engineer
19,"IT Security Engineer | Linux, Windows | bis. 80.000€ p.a. | 100% Home-Office mögl. (mwd)",Vor 2 Tagen,Vesterling AG,Dortmund,,https://www.xing.com/jobs/dortmund-it-security-engineer-linux-windows-80-000-100-home-office-moegl-mwd-100002313,xing,2023-04-20 12:19:18,Data Engineer
