,job_title,publish,company,city,description,link,website,date,search_title
0,In-house Data Engineer/DWH-Spezialist (m/w/d),Gerade eben,Oliver Parks,Münster,"Über uns In-house Data Engineer/DWH-Spezialist (m/w/d) Unser Kunde ist eine mittelständige deutsche Wirtschaftsprüfungsgesellschaft aus dem schönen Westfalen, die",https://www.xing.com/jobs/muenster-house-data-engineer-dwh-spezialist-102455712,xing,2023-05-23 12:19:13,Data Engineer
1,Cloud Data Solutions Engineer (m/w/d),Vor 6 Stunden,PROSOZ Herten GmbH,Herten,"Cloud Data Solutions Engineer (m/w/d) PROSOZ Herten GmbH, Herten (Ruhrgebiet), Homeoffice Vorankommen mit Prosoz!",https://www.xing.com/jobs/herten-cloud-data-solutions-engineer-102440592,xing,2023-05-23 12:19:13,Data Engineer
2,R&D Senior Testing & Lab Engineer (m/f/d),Vor 7 Stunden,ABB Deutschland,Lüdenscheid,ABB AG Your contact is: ABB PersonalDirekt +49 (0) 621 381 3500 ABB Data Privacy Statement: https://new.abb.com/privacy-notice/candidate,https://www.xing.com/jobs/luedenscheid-senior-testing-lab-engineer-102438816,xing,2023-05-23 12:19:13,Data Engineer
3,Data Engineer (m/w/d) - Fokus Cloud Engineering,Vor 20 Stunden,Alexander Thamm GmbH,Allendorf,Wir bieten Data bewegt uns!,https://www.xing.com/jobs/allendorf-data-engineer-fokus-cloud-engineering-102415834,xing,2023-05-23 12:19:13,Data Engineer
4,Bachelor or Master Thesis: Digital Control Design for Data Center Power Supplies (m/f/d),Gestern,Delta Energy Systems GmbH,Soest,Bachelor or Master Thesis: Digital Control Design for Data Center Power Supplies (m/f/d) Location: Soest Your challenge Development of firmware/software for innovative,https://www.xing.com/jobs/soest-bachelor-master-thesis-digital-control-design-data-center-power-supplies-102407586,xing,2023-05-23 12:19:13,Data Engineer
5,Bachelor or Master Thesis: Embedded Linux for Data Center Power Supplies (m/f/d),Gestern,Delta Energy Systems GmbH,Soest,Bachelor or Master Thesis: Embedded Linux for Data Center Power Supplies (m/f/d) Location: Soest Your challenge Integrating and managing open-source software in,https://www.xing.com/jobs/soest-bachelor-master-thesis-embedded-linux-data-center-power-supplies-102407583,xing,2023-05-23 12:19:13,Data Engineer
6,Bachelor or Master Thesis: Software Security and Cryptography for Data Center Power Supplies (m/f/d),Gestern,Delta Energy Systems GmbH,Soest,Bachelor or Master Thesis: Software Security and Cryptography for Data Center Power Supplies (m/f/d) Location: Soest Your challenge Development of software for innovative,https://www.xing.com/jobs/soest-bachelor-master-thesis-software-security-cryptography-data-center-power-supplies-102407590,xing,2023-05-23 12:19:13,Data Engineer
7,Bachelor or Master Thesis: Communication Protocols for Data Center Power Supplies (m/f/d),Gestern,Delta Energy Systems GmbH,Soest,Bachelor or Master Thesis: Communication Protocols for Data Center Power Supplies (m/f/d) Location: Soest Your challenge Development of software for innovative embedded,https://www.xing.com/jobs/soest-bachelor-master-thesis-communication-protocols-data-center-power-supplies-102407628,xing,2023-05-23 12:19:13,Data Engineer
8,Software Engineer Analytics (m/w/d),Gestern,Atruvia AG,Münster,"Für unser Geschäftsfeld Data, Security and Identity im Tribe Data Management and Governance suchen wir dich als Software Engineer Analytics (m/w/d) Münster Unbefristete",https://www.xing.com/jobs/muenster-software-engineer-analytics-102385783,xing,2023-05-23 12:19:13,Data Engineer
9,Technician - Manufacturing Engineer,Gestern,"Magna Mechatronics, Mirrors & Lighting",Holland,"Selects and adapts/modifies test equipment and procedures, sets up and operates equipment, and records data. Analyzes data and prepares reports.",https://www.xing.com/jobs/holland-technician-manufacturing-engineer-102374901,xing,2023-05-23 12:19:13,Data Engineer
10,Testingenieur (m/w/d) Function & Safety,Vor 2 Tagen,ZF Group,Stemwede,"Stellensegment: R&D Engineer, R&D, Safety, Systems Engineer, Engineering, Research, Service",https://www.xing.com/jobs/stemwede-testingenieur-function-safety-101063597,xing,2023-05-23 12:19:13,Data Engineer
11,IT System Engineer mit Schwerpunkt Virtualisierung,Vor 2 Tagen,CEP GmbH Personalmanagement,"Dortmund, Herne",für die Optimierung der IT Infrastruktur Deiner mittelständischen Kunden verantwortlich Du implementierst neue IT-Lösungen in diversen Projekten Deiner Kunden (Data,https://www.xing.com/jobs/dortmund-herne-it-system-engineer-schwerpunkt-virtualisierung-102326141,xing,2023-05-23 12:19:13,Data Engineer
12,Data Warehouse Engineer (m/w/d),Vor 3 Tagen,AMAZONEN-Werke H. Dreyer GmbH & Co. KG,Hasbergen,"Data Warehouse Engineer (m/w/d) für unseren Standort Hasbergen-Gaste Was Heinrich Dreyer 1883 begonnen hat, führen wir mittlerweile in vierter Generation fort: Wir",https://www.xing.com/jobs/hasbergen-data-warehouse-engineer-87060498,xing,2023-05-23 12:19:13,Data Engineer
13,Data Engineer (m/w/d),Vor 3 Tagen,Computer Futures,Herne,"Data Engineer (m/w/d) Du bist neugierig, die Datenwelt zu ergründen? Du möchten mit den neusten Technologien arbeiten und sich gemeinsam mit Ihnen entwickeln?",https://www.xing.com/jobs/herne-data-engineer-102298353,xing,2023-05-23 12:19:13,Data Engineer
14,Data Analytics Engineer (m/w/d),Vor 3 Tagen,hager Group,Osnabrück,Data Analytics Engineer (m/w/d) Du möchtest den den Aufbau einer modernen Data & Analytics Cloud Plattform mitgestalten?,https://www.xing.com/jobs/osnabrueck-data-analytics-engineer-97038652,xing,2023-05-23 12:19:13,Data Engineer
15,Data Engineer (m/w/d),Vor 3 Tagen,ISR Information Products AG,Münster,Du setzt kundenindividuelle Lösungen mit Big Data und Public Cloud Technologien um. Du wirkst bei Lösungsarchitekturen und der Herstellung von Deployments mit.,https://www.xing.com/jobs/muenster-data-engineer-102286950,xing,2023-05-23 12:19:13,Data Engineer
16,Data Engineer (m/w/d) - hybrid,Vor 3 Tagen,AIM - Agile IT Management GmbH,Osnabrück,Vollzeit | unbefristet | Osnabrück | hybrid Als Data Engineer (m/w/d) bei AIM schaffst du durch deine Datenaufbereitung die Grundlage für die Analyseprojekte deiner,https://www.xing.com/jobs/osnabrueck-data-engineer-hybrid-102273774,xing,2023-05-23 12:19:13,Data Engineer
17,"Java Backend Developer (m/w/d) für Dortmund, Hannover oder remote",Vor 3 Tagen,QuinScape,Dortmund,Über uns Die QuinScape GmbH ist ein IT-Dienstleister mit den Schwerpunkten Data & Analytics und Software Engineering.,https://www.xing.com/jobs/dortmund-java-backend-developer-dortmund-hannover-remote-102267609,xing,2023-05-23 12:19:13,Data Engineer
18,"Data Engineer (m/w/d) für Dortmund, Hannover oder remote",Vor 3 Tagen,QuinScape,Dortmund,"Dann melde dich bei uns, denn wir suchen einen Data Engineer (m/w/d) , der Spaß an den folgenden Tätigkeiten hat: Du entwickelst Anwendungen zur Verarbeitung und",https://www.xing.com/jobs/dortmund-data-engineer-dortmund-hannover-remote-102267526,xing,2023-05-23 12:19:13,Data Engineer
19,"Senior DevOps Engineer (m/w/d) für Dortmund, Hannover oder remote",Vor 3 Tagen,QuinScape,Dortmund,Über uns Die QuinScape GmbH ist ein IT-Dienstleister mit den Schwerpunkten Data & Analytics und Software Engineering.,https://www.xing.com/jobs/dortmund-senior-devops-engineer-dortmund-hannover-remote-102267516,xing,2023-05-23 12:19:13,Data Engineer
