,job_title,publish,company,city,description,link,website,date,search_title
0,"IT Security Engineer | Linux, Windows | bis. 80.000€ p.a. | 100% Home-Office mögl. (mwd)",,Vesterling AG,,,,xing,2023-06-17 12:18:06,Data Engineer
1,IoT Software Engineer (F/M/D),,Synctive,,,,xing,2023-06-17 12:18:06,Data Engineer
2,Big Data Engineer (m/w/d),,ORDIX AG,,,,xing,2023-06-17 12:18:06,Data Engineer
3,IT Engineer (m/w/d) Endpoint Protection,,DIE JOBMACHER GmbH,,,,xing,2023-06-17 12:18:06,Data Engineer
4,Data Engineer (m/w/d) - hybrid,,AIM - Agile IT Management GmbH,,,,xing,2023-06-17 12:18:06,Data Engineer
5,Data Engineer (m/f/d),,Symrise AG,,,,xing,2023-06-17 12:18:06,Data Engineer
6,Data Engineer (m/w/d),,ISR Information Products AG,,,,xing,2023-06-17 12:18:06,Data Engineer
7,Technician - Manufacturing Engineer,,"Magna Mechatronics, Mirrors & Lighting",,,,xing,2023-06-17 12:18:06,Data Engineer
8,Data Engineer/ Data BI Architect (m/w/d),,Thalia Bücher GmbH,,,,xing,2023-06-17 12:18:06,Data Engineer
9,Advanced Manufacturing Engineer,,"Magna Mechatronics, Mirrors & Lighting",,,,xing,2023-06-17 12:18:06,Data Engineer
10,Data Engineer (m/w/d) | NRW,,ADVERGY GmbH,,,,xing,2023-06-17 12:18:06,Data Engineer
11,Support Engineer - Operations Command Center (SOC) (m/w/d),,OEDIV,,,,xing,2023-06-17 12:18:06,Data Engineer
12,Data Engineer (w/m/d),,digit xperts GmbH,,,,xing,2023-06-17 12:18:06,Data Engineer
13,"In-house Data Engineer, Großraum Rheine/Osnabrück/Münster",,Oliver Parks,,,,xing,2023-06-17 12:18:06,Data Engineer
14,In-house (Senior) Machine Learning Engineer (m/w/d),,Oliver Parks,,,,xing,2023-06-17 12:18:06,Data Engineer
15,BI Data Engineer / Data Architect (m/w/d),,Nagel-Group,,,,xing,2023-06-17 12:18:06,Data Engineer
16,Data Product Owner (m/w/d) Fulfillment // Remote möglich,,E. Breuninger GmbH & Co.,,,,xing,2023-06-17 12:18:06,Data Engineer
17,Data Product Owner (m/w/d) Finanzen // Remote möglich,,E. Breuninger GmbH & Co.,,,,xing,2023-06-17 12:18:06,Data Engineer
18,Data Engineer (m/w/d),,inserve GmbH,,,,xing,2023-06-17 12:18:06,Data Engineer
19,SoftwareentwicklerIn Backend (m/w/d) Vollzeit / Teilzeit / Remote,,logarithmo GmbH & Co. KG,,,,xing,2023-06-17 12:18:06,Data Engineer
