,job_title,publish,company,city,description,link,website,date,search_title
0,Data Engineer (m/w/d) - hybrid,Vor 11 Stunden,AIM - Agile IT Management GmbH,Osnabrück,Vollzeit | unbefristet | Osnabrück | hybrid Als Data Engineer (m/w/d) bei AIM schaffst du durch deine Datenaufbereitung die Grundlage für die Analyseprojekte deiner,https://www.xing.com/jobs/osnabrueck-data-engineer-hybrid-101112768,xing,2023-05-05 12:18:17,Data Engineer
1,Professur für »Bauinformatik im konstruktiven Ingenieurbau« im Fachbereich Bauingenieurwesen (m/w/d),Vor 13 Stunden,FH Münster,Münster,"Monitoring, Big Data sowie nachhaltige und digitale Bauwerksüberwachung.",https://www.xing.com/jobs/muenster-professur-bauinformatik-konstruktiven-ingenieurbau-fachbereich-bauingenieurwesen-100110435,xing,2023-05-05 12:18:17,Data Engineer
2,Data Engineer (m/w/d),Vor 19 Stunden,ISR Information Products AG,Münster,Du setzt kundenindividuelle Lösungen mit Big Data und Public Cloud Technologien um. Du wirkst bei Lösungsarchitekturen und der Herstellung von Deployments mit.,https://www.xing.com/jobs/muenster-data-engineer-101094543,xing,2023-05-05 12:18:17,Data Engineer
3,Security Engineer Endpoint Protection (m/w/d),Vor 21 Stunden,pco GmbH & Co. KG,Osnabrück,"Gute Kenntnisse der Produkte Data Loss Prevention, AntiVirus, Desktop Firewall und Host Intrusion Prevention.",https://www.xing.com/jobs/osnabrueck-security-engineer-endpoint-protection-101091780,xing,2023-05-05 12:18:17,Data Engineer
4,Application Engineer-Controls for Data Centers (male/female/x),Gestern,FläktGroup Deutschland GmbH,Herne,We are looking for an Application Engineer for Data Centers (male/female/x) MAIN RESPONSIBILITIES • Planning / project planning of electrical engineering systems,https://www.xing.com/jobs/herne-application-engineer-controls-data-centers-male-female-101087069,xing,2023-05-05 12:18:17,Data Engineer
5,Testingenieur (m/w/d) Function & Safety,Gestern,ZF Group,Stemwede,"Stellensegment: R&D Engineer, Systems Engineer, R&D, Safety, Engineer, Engineering, Research, Service",https://www.xing.com/jobs/stemwede-testingenieur-function-safety-101063597,xing,2023-05-05 12:18:17,Data Engineer
6,Head of Data Engineering,Gestern,Symrise AG,Holzminden,on when necessary Technical Degree such as (business) computer scientist or (business) engineer or comparable education Experience managing or leading other data,https://www.xing.com/jobs/holzminden-head-data-engineering-101063465,xing,2023-05-05 12:18:17,Data Engineer
7,"DevOps Engineer | Big Data, LINUX, DevOps, JAVA, Cloud | bis 100% Home-Office mögl. (mwd)",Gestern,Vesterling AG,Dortmund,Als DevOps Engineer leisten Sie hier Beratung in Kundenprojekten bei einem innovativem Start-up.,https://www.xing.com/jobs/dortmund-devops-engineer-big-data-linux-devops-java-cloud-100-home-office-moegl-mwd-101053237,xing,2023-05-05 12:18:17,Data Engineer
8,"APEX / ORACLE Software Developer | Forms, Reports, Implementierung | Home-Office möglich (mwd)",Vor 2 Tagen,Vesterling AG,Bochum,"In deinem Team aus Softwareentwickler:innen, POs, Data Scientists und Expert:innen im Bereich UX/UI-Design und -Entwicklung übernimmst du die DevOps-Aufgaben.",https://www.xing.com/jobs/bochum-apex-oracle-software-developer-forms-reports-implementierung-home-office-mwd-101052181,xing,2023-05-05 12:18:17,Data Engineer
9,"APEX / ORACLE Software Developer | Forms, Reports, Implementierung | Home-Office möglich (mwd)",Vor 2 Tagen,Vesterling AG,Dortmund,"Sie installieren, konfigurieren und monitoren BI/Big Data Anwendungen.",https://www.xing.com/jobs/dortmund-apex-oracle-software-developer-forms-reports-implementierung-home-office-mwd-101052183,xing,2023-05-05 12:18:17,Data Engineer
