,job_title,publish,company,city,description,link,website,date,search_title
0,DATA ENGINEER (M/W/D),Vor 3 Stunden,X.ALENTS Consulting GmbH,Dortmund,"Über uns Für ein mittelständisches Unternehmen aus Dortmund, suchen wir zum nächstmöglichen Zeitpunkt einen Data Engineer (m/w/d), der Lust und Interesse hat, die",https://www.xing.com/jobs/dortmund-data-engineer-99257780,xing,2023-03-31 12:19:58,Data Engineer
1,API - Programmierschnittstellenentwickler & DevOps Engineer m/w/d - Remote,Vor 6 Stunden,PBCN GmbH - Personalberatung Christmann/Nowack,Paderborn,Konzeptionierung von technischen Lösungsarchitekturen Sie entwickeln APIs zur Sicherstellung einer performanten Datenbereitstellung aus der Unternehmens-Cloud Data,https://www.xing.com/jobs/paderborn-api-programmierschnittstellenentwickler-devops-engineer-remote-99253271,xing,2023-03-31 12:19:58,Data Engineer
2,Data Engineer (m/w/d),Vor 11 Stunden,Brunel,Osnabrück,Ihre Aufgabe Als Data Engineer entwickeln Sie Data Management Lösungen im Anwendungsspezifischen Bereich unseres Kunden.,https://www.xing.com/jobs/osnabrueck-data-engineer-99249666,xing,2023-03-31 12:19:58,Data Engineer
3,Data Engineer (m/w/d),Vor 12 Stunden,BRUDERKOPF GmbH & Co. KG,Dortmund,Für ihn suchen wir einen Data Engineer (m/w/d) . Wahlweise ist die Arbeit am Standort unseres Mandanten oder remote möglich.,https://www.xing.com/jobs/dortmund-data-engineer-99243306,xing,2023-03-31 12:19:58,Data Engineer
4,Integration Specialist (w/m/d),Vor 12 Stunden,CAE GmbH Gehaltsbuchhaltung,Bückeburg,"w/m/d) Your tasks: Identifying, finding and solving problems in complex flight simulation systems Checks updates and bug fixes at subsystem level with the test engineer",https://www.xing.com/jobs/bueckeburg-integration-specialist-99221469,xing,2023-03-31 12:19:58,Data Engineer
5,Senior Data Engineer (m/w/d),Gestern,BRUDERKOPF GmbH & Co. KG,Kassel,Für ihn suchen wir einen Senior Data Engineer (m/w/d) . Wahlweise ist die Arbeit am Standort unseres Mandanten oder remote möglich.,https://www.xing.com/jobs/kassel-senior-data-engineer-99201851,xing,2023-03-31 12:19:58,Data Engineer
6,(Senior) Data Engineer (w/m/d),Gestern,Porta Möbel GmbH & Co KG,Porta Westfalica,Verstärkung unseres Teams Business Intelligence im IT-Produktmanagement suchen wir einen (Senior) Data Engineer (w/m/d) in Vollzeit.,https://www.xing.com/jobs/porta-westfalica-senior-data-engineer-88848148,xing,2023-03-31 12:19:58,Data Engineer
7,ML Ops Engineer (f/d/m) Darmstadt or Bielefeld,Gestern,Diamant Software GmbH,Bielefeld,"For these requirements and many more, we are searching for an ML Ops Engineer Ninja!",https://www.xing.com/jobs/bielefeld-ml-ops-engineer-darmstadt-bielefeld-99110541,xing,2023-03-31 12:19:58,Data Engineer
8,System Engineer (m/w/d) Data Center,Vor 2 Tagen,neam IT-Services GmbH,Paderborn,Für unseren Standort Paderborn suchen wir Dich als System Engineer (m/w/d) Worauf Du Dich bei uns freuen kannst: Ein individuelles und attraktives Vergütungsmodell,https://www.xing.com/jobs/paderborn-system-engineer-data-center-99101255,xing,2023-03-31 12:19:58,Data Engineer
9,Big Data Engineer (m/w/d),Vor 2 Tagen,ORDIX AG,Münster,"Ihre Aufgaben Zu Ihren Aufgaben gehören die Beratung, der Betrieb und die Problemanalyse einer Big Data Plattform im Hadoop Umfeld Sie administrieren und konfigurieren",https://www.xing.com/jobs/muenster-big-data-engineer-99099085,xing,2023-03-31 12:19:58,Data Engineer
10,Senior Data Warehouse Engineer / Architect (w/m/d),Vor 2 Tagen,Rhenus Gruppe,Holzwickede,"Senior Data Warehouse Engineer / Architect (w/m/d) Together with your team, you actively accompany the continuous development of our business areas as a source of",https://www.xing.com/jobs/holzwickede-senior-data-warehouse-engineer-architect-99009772,xing,2023-03-31 12:19:58,Data Engineer
11,AWS Experte: in (all genders) - 100% Home Office,Vor 4 Tagen,fino data services GmbH,Kassel,"Solution Architect Associate/Professional, DevOps Engineer Associate/Professional) Es motiviert dich, Aufgaben selbstständig, eigenverantwortlich und lösungsorientiert",https://www.xing.com/jobs/kassel-aws-experte-all-genders-100-home-office-98959069,xing,2023-03-31 12:19:58,Data Engineer
12,Data Engineer (m/w/d),Vor 5 Tagen,BRUDERKOPF GmbH & Co. KG,Kassel,Für ihn suchen wir einen Data Engineer (m/w/d) . Wahlweise ist die Arbeit am Standort unseres Mandanten oder remote möglich.,https://www.xing.com/jobs/kassel-data-engineer-98941153,xing,2023-03-31 12:19:58,Data Engineer
13,Value Engineer Instrumentation (m/f/d),Vor 5 Tagen,ABB Deutschland,Minden,ABB AG Your contact is: ABB PersonalDirekt +49 (0) 621 381 3500 ABB Data Privacy Statement: https://new.abb.com/privacy-notice/candidate,https://www.xing.com/jobs/minden-engineer-instrumentation-94290349,xing,2023-03-31 12:19:58,Data Engineer
