,job_title,publish,company,city,description,link,website,date,search_title
0,SoftwareentwicklerIn Backend (m/w/d) Vollzeit / Teilzeit / Remote,Vor 19 Stunden,logarithmo GmbH & Co. KG,Dortmund,"Aufgaben Du arbeitest in einem interdisziplinären und agilen Entwicklungsteam mit Data Scientists, Ingenieure/-innen, Informatiker/-innen und Mathematiker/-innen",https://www.xing.com/jobs/dortmund-softwareentwicklerin-backend-vollzeit-teilzeit-remote-100938623,xing,2023-05-01 12:18:26,Data Engineer
1,Referent (m/w/d) Fachdigitalisierung,Gestern,Landesbetrieb Straßenwesen Brandenburg,Mark,"Profil: Know-how und Kommunikationsstärke Abgeschlossenes wissenschaftliches Hochschulstudium in der Fachrichtung Informatik, Digital Engineering, Bauingenieurwesen mit",https://www.xing.com/jobs/mark-referent-fachdigitalisierung-100890512,xing,2023-05-01 12:18:26,Data Engineer
2,Sachbearbeiter (m/w/d) Baudigitalisierung,Gestern,Landesbetrieb Straßenwesen Brandenburg,Mark,"Prozess- und Projektmanagement sowie wünschenswerte Kenntnisse bei ERP- und AVA-Systemen, BIM oder GIS Grundkenntnisse in Softwarearchitektur, Programmierung und Data",https://www.xing.com/jobs/mark-sachbearbeiter-baudigitalisierung-100890451,xing,2023-05-01 12:18:26,Data Engineer
3,Professur für »Bauinformatik im konstruktiven Ingenieurbau« im Fachbereich Bauingenieurwesen (m/w/d),Gestern,FH Münster,Münster,"Monitoring, Big Data sowie nachhaltige und digitale Bauwerksüberwachung.",https://www.xing.com/jobs/muenster-professur-bauinformatik-konstruktiven-ingenieurbau-fachbereich-bauingenieurwesen-100110435,xing,2023-05-01 12:18:26,Data Engineer
4,Artificial Intelligence Manager (m/w/d),Gestern,Kontakttechnik GmbH & Co. KG,Minden,"Business Units und Fachbereichen die Roadmap für die nächsten Jahre Dazu erarbeiten Sie einen strukturellen und prozessualen Rahmen, in denen sich KI-Entwickler, Data",https://www.xing.com/jobs/minden-artificial-intelligence-manager-97232978,xing,2023-05-01 12:18:26,Data Engineer
5,Big Data Engineer (m/w/d),Vor 2 Tagen,ORDIX AG,Münster,"Ihre Aufgaben Zu Ihren Aufgaben gehören die Beratung, der Betrieb und die Problemanalyse einer Big Data Plattform im Hadoop Umfeld Sie administrieren und konfigurieren",https://www.xing.com/jobs/muenster-big-data-engineer-100829359,xing,2023-05-01 12:18:26,Data Engineer
6,(Senior) Fullstack Developer*in (w/m/d),Vor 2 Tagen,Westphalia DataLab GmbH,Münster,Bring deine Expertise ein und hilf uns dabei unsere Data-Science Lösungen auf die nächste Ebene zu heben. Wir freuen uns auf deine Bewerbung!,https://www.xing.com/jobs/muenster-senior-fullstack-developer-100828711,xing,2023-05-01 12:18:26,Data Engineer
7,Data Engineer (w/m/d),Vor 3 Tagen,Fagus-GreCon Greten GmbH & Co. KG,Alfeld (Leine),"Unser Unternehmen sucht einen erfahrenen Data Engineer, der unser wachsendes Team bei der Entwicklung und Umsetzung von Dateninfrastrukturen unterstützt.",https://www.xing.com/jobs/alfeld-leine-data-engineer-100621964,xing,2023-05-01 12:18:26,Data Engineer
8,Data Engineer (m/w/d),Vor 4 Tagen,Senger Gruppe,Rheine,"Science, Predictive Analytics oder sonstigen analytisch geprägten Disziplinen im Data Warehouse-Umfeld Interesse an der Verarbeitung und Auswertung von großen und",https://www.xing.com/jobs/rheine-data-engineer-100599639,xing,2023-05-01 12:18:26,Data Engineer
9,System Engineer (m/w/d) Analytic Infrastructure,Vor 4 Tagen,eoda GmbH,Kassel,Über uns Seit über 10 Jahren sind wir von eoda der Ansprechpartner im Umfeld von Data Science und KI.,https://www.xing.com/jobs/kassel-system-engineer-analytic-infrastructure-100530283,xing,2023-05-01 12:18:26,Data Engineer
10,(Junior) Data Analyst / Data Engineer (m/w/d),Vor 5 Tagen,mso digital GmbH & Co. KG,Osnabrück,Wir suchen zum nächstmöglichen Zeitpunkt oder später in Vollzeit eine:n (Junior) Data Analyst / Data Engineer (m/w/d) · Hamburg · Osnabrück · Mobiles Arbeiten möglich,https://www.xing.com/jobs/osnabrueck-junior-data-analyst-data-engineer-100492382,xing,2023-05-01 12:18:26,Data Engineer
