,job_title,publish,company,city,description,link,website,date,search_title
0,"DevOps Profi | LINUX, Docker, Kubernetes, ansible, puppet | Inhouse, bis 90 T€ (mwd)",Vor 4 Stunden,Vesterling AG,Dortmund,"KVM und Container-Technologien (Docker, LXC) Erfahrungen und Kenntnisse im Cloud-affinen skalierten Produktivbetrieb für Software-Entwicklung, AI-Modelling, Big Data",https://www.xing.com/jobs/dortmund-devops-profi-linux-docker-kubernetes-ansible-puppet-inhouse-90-mwd-102819188,xing,2023-05-30 12:22:14,Data Engineer
1,IT System Engineer mit Schwerpunkt Virtualisierung,Vor 19 Stunden,CEP GmbH Personalmanagement,"Dortmund, Herne",für die Optimierung der IT Infrastruktur Deiner mittelständischen Kunden verantwortlich Du implementierst neue IT-Lösungen in diversen Projekten Deiner Kunden (Data,https://www.xing.com/jobs/dortmund-herne-it-system-engineer-schwerpunkt-virtualisierung-102803119,xing,2023-05-30 12:22:14,Data Engineer
2,SoftwareentwicklerIn Backend (m/w/d) Vollzeit / Teilzeit / Remote,Vor 20 Stunden,logarithmo GmbH & Co. KG,Dortmund,"Aufgaben Du arbeitest in einem interdisziplinären und agilen Entwicklungsteam mit Data Scientists, Ingenieure/-innen, Informatiker/-innen und Mathematiker/-innen",https://www.xing.com/jobs/dortmund-softwareentwicklerin-backend-vollzeit-teilzeit-remote-102800352,xing,2023-05-30 12:22:14,Data Engineer
3,Data Engineer (m/w/d),Gestern,inserve GmbH,Osnabrück,Als Data Engineer (m/w/d) bei der inserve schaffst du durch deine Datenaufbereitung die Grundlage für die Analyseprojekte deiner Teammitglieder und stellst so den,https://www.xing.com/jobs/osnabrueck-data-engineer-102782517,xing,2023-05-30 12:22:14,Data Engineer
4,"Support Engineer – IT-Servicedesk (2nd Level Support) Professional (m/w/d) Schwerpunkt Linux/Unix, SAP Basis, Windows, Security oder Netzwerk | Bielefeld",Vor 3 Tagen,OEDIV Oetker Daten- und Informationsverarbeitung KG,Bielefeld,"AIX, im Security Umfeld (SSL / Proxy / Message Tracking) und/oder in SAP erleichtern Dir den Einstieg Du besitzt ein fundiertes Verständnis für Abläufe in einem Data",https://www.xing.com/jobs/bielefeld-support-engineer-it-servicedesk-2nd-level-support-professional-schwerpunkt-linux-unix-sap-basis-windows-security-netzwerk-bielefeld-95718016,xing,2023-05-30 12:22:14,Data Engineer
5,Support Engineer – IT-Servicedesk (2nd Level Support) Junior (m/w/d) | Bielefeld,Vor 3 Tagen,OEDIV Oetker Daten- und Informationsverarbeitung KG,Bielefeld,", VMWare) und Kenntnisse zu Betriebssystemen wie Windows und/oder im Security Umfeld (SSL / Proxy / Message Tracking) mit Erste Kenntnisse zu Abläufen in einem Data",https://www.xing.com/jobs/bielefeld-support-engineer-it-servicedesk-2nd-level-support-junior-bielefeld-95717971,xing,2023-05-30 12:22:14,Data Engineer
6,Data Engineer (m/w/d),Vor 3 Tagen,Alexander Thamm GmbH,Allendorf,"Mind. 2 Jahre Berufserfahrung als Software Engineer, Softwareentwickler:in, Data Engineer oder ähnlichem Berufsfeld Sehr gute Kenntnisse der Programmiersprachen",https://www.xing.com/jobs/allendorf-data-engineer-102671753,xing,2023-05-30 12:22:14,Data Engineer
7,Data Engineer / Cloud Engineer (m/w/d),Vor 3 Tagen,Alexander Thamm GmbH,Allendorf,Deine Aufgaben Data und AI sind dein zu Hause?,https://www.xing.com/jobs/allendorf-data-engineer-cloud-engineer-102671739,xing,2023-05-30 12:22:14,Data Engineer
8,Teamlead Delivery - Schwerpunkt Data Engineering (m/w/d),Vor 3 Tagen,Alexander Thamm GmbH,Allendorf,"Berufserfahrung als Software Engineer, Softwareentwickler:in, Data Engineer oder ähnlichem - möglichst im Consulting-Bereich Zusätzlich mind. drei Jahre Berufserfahrung",https://www.xing.com/jobs/allendorf-teamlead-delivery-schwerpunkt-data-engineering-102671744,xing,2023-05-30 12:22:14,Data Engineer
9,Senior Data Engineer (m/w/d),Vor 3 Tagen,Alexander Thamm GmbH,Allendorf,"Berufserfahrung als Software Engineer, Softwareentwickler:in, Data Engineer oder ähnlichem Berufsfeld Sehr gute Kenntnisse der Programmiersprachen Python, Java",https://www.xing.com/jobs/allendorf-senior-data-engineer-102671751,xing,2023-05-30 12:22:14,Data Engineer
