,job_title,publish,company,city,description,link,website,date,search_title
0,AWS Experte: in (all genders) - 100% Home Office,Vor 1 Stunde,fino data services GmbH,Kassel,"Solution Architect Associate/Professional, DevOps Engineer Associate/Professional) Es motiviert dich, Aufgaben selbstständig, eigenverantwortlich und lösungsorientiert",https://www.xing.com/jobs/kassel-aws-experte-all-genders-100-home-office-99660579,xing,2023-04-07 12:18:34,Data Engineer
1,Data Engineer (m/w/d),Vor 11 Stunden,ISR Information Products AG,Münster,Du setzt kundenindividuelle Lösungen mit Big Data und Public Cloud Technologien um. Du wirkst bei Lösungsarchitekturen und der Herstellung von Deployments mit.,https://www.xing.com/jobs/muenster-data-engineer-99640814,xing,2023-04-07 12:18:34,Data Engineer
2,Senior Data Engineer (m/w/d),Vor 12 Stunden,BRUDERKOPF GmbH & Co. KG,Dortmund,Für ihn suchen wir einen Senior Data Engineer (m/w/d) . Wahlweise ist die Arbeit am Standort unseres Mandanten oder remote möglich.,https://www.xing.com/jobs/dortmund-senior-data-engineer-99640329,xing,2023-04-07 12:18:34,Data Engineer
3,Business Analyst (m/f/d),Vor 16 Stunden,Riverty Services GmbH,Verl,"As a Business Analyst, you will work closely with our colleagues in Finance and Data Engineering, and learn a lot about our data sources and processes.",https://www.xing.com/jobs/verl-business-analyst-99632553,xing,2023-04-07 12:18:34,Data Engineer
4,IT Business Process Engineer – Logistics (m/f/d),Vor 16 Stunden,Symrise AG,Holzminden,"Middleware experience with the execution of bi-directional data exchange Experience with other SAP areas (e.g., Materials Management/ Purchasing) and Service Cloud",https://www.xing.com/jobs/holzminden-business-process-engineer-logistics-99632289,xing,2023-04-07 12:18:34,Data Engineer
5,Data Engineer (w/m/d),Vor 18 Stunden,Rhenus Assets & Services GmbH & Co. KG,Holzwickede,Data Engineer (w/m/d) Das Data Analytics Team ist mit spannenden Projekten innerhalb der gesamten Rhenus-Gruppe Meister der Zahlen und Daten.,https://www.xing.com/jobs/holzwickede-data-engineer-99629731,xing,2023-04-07 12:18:34,Data Engineer
6,Support Engineer - Operations Command Center (SOC) (m/w/d),Gestern,OEDIV,Bielefeld,"Das sind Deine Aufgaben: Du übernimmst die Überwachung und Bearbeitung von Alerts (Monitoring) von IT-Systemen, Security (SIEM), der Gebäudeleittechnik und der Data",https://www.xing.com/jobs/bielefeld-support-engineer-operations-command-center-soc-99613068,xing,2023-04-07 12:18:34,Data Engineer
7,BI Business Analyst / Data Engineer (m/w/d),Gestern,LVM Mitarbeiter,Münster,Deshalb suchen wir Sie als BI Business Analyst / Data Engineer (m/w/d) Ihr Aufgabengebiet Mitarbeit in dem Themenfeld Business Intelligence mit Schwerpunkt auf Datenschnittstellen,https://www.xing.com/jobs/muenster-bi-business-analyst-data-engineer-99583628,xing,2023-04-07 12:18:34,Data Engineer
8,(Team Lead) Data Engineer (w/m/d),Gestern,porta Unternehmensgruppe,"Porta Westfalica (Zentralverwaltung), Remote (deutschlandweit)",Intelligence im IT-Produktmanagement suchen wir einen Data Engineer (w/m/d) mit Option zur Weiterentwicklung zum Team Lead in Vollzeit.,https://www.xing.com/jobs/porta-westfalica-zentralverwaltung-remote-deutschlandweit-team-lead-data-engineer-99578776,xing,2023-04-07 12:18:34,Data Engineer
9,Security Engineer Endpoint Protection (m/w/d),Vor 2 Tagen,pco GmbH & Co. KG,Osnabrück,"Gute Kenntnisse der Produkte Data Loss Prevention, AntiVirus, Desktop Firewall und Host Intrusion Prevention.",https://www.xing.com/jobs/osnabrueck-security-engineer-endpoint-protection-99572460,xing,2023-04-07 12:18:34,Data Engineer
