,job_title,publish,company,city,description,link,website,date,search_title
0,"Senior DevOps Engineer (m/w/d) für Dortmund, Hannover oder remote",Vor 1 Stunde,QuinScape,Dortmund,Über uns Die QuinScape GmbH ist ein IT-Dienstleister mit den Schwerpunkten Data & Analytics und Software Engineering.,https://www.xing.com/jobs/dortmund-senior-devops-engineer-dortmund-hannover-remote-99834364,xing,2023-04-13 12:21:19,Data Engineer
1,"Java Backend Developer (m/w/d) für Dortmund, Hannover oder remote",Vor 3 Stunden,QuinScape,Dortmund,Über uns Die QuinScape GmbH ist ein IT-Dienstleister mit den Schwerpunkten Data & Analytics und Software Engineering.,https://www.xing.com/jobs/dortmund-java-backend-developer-dortmund-hannover-remote-99833400,xing,2023-04-13 12:21:19,Data Engineer
2,"Data Engineer (m/w/d) für Dortmund, Hannover oder remote",Vor 3 Stunden,QuinScape,Dortmund,"Dann melde dich bei uns, denn wir suchen einen Data Engineer (m/w/d) , der Spaß an den folgenden Tätigkeiten hat: Du entwickelst Anwendungen zur Verarbeitung und",https://www.xing.com/jobs/dortmund-data-engineer-dortmund-hannover-remote-99833303,xing,2023-04-13 12:21:19,Data Engineer
3,Senior Data Warehouse Engineer / Architect (w/m/d),Vor 14 Stunden,Rhenus Gruppe,Holzwickede,"Senior Data Warehouse Engineer / Architect (w/m/d) Together with your team, you actively accompany the continuous development of our business areas as a source of",https://www.xing.com/jobs/holzwickede-senior-data-warehouse-engineer-architect-99799772,xing,2023-04-13 12:21:19,Data Engineer
4,SCADA Specialist,Vor 18 Stunden,industrial automation and PLC,Rheine,"Aarhus N, Region Central Jutland, DK Rheine, NW, DE Hamburg, HH, DE Work experience Specialist Type of position Full-Time Job Family Engineering The Offshore Plant Engineer",https://www.xing.com/jobs/rheine-scada-specialist-99788686,xing,2023-04-13 12:21:19,Data Engineer
5,IT System Engineer mit Schwerpunkt Virtualisierung,Gestern,CEP GmbH Personalmanagement,"Dortmund, Herne",für die Optimierung der IT Infrastruktur Deiner mittelständischen Kunden verantwortlich Du implementierst neue IT-Lösungen in diversen Projekten Deiner Kunden (Data,https://www.xing.com/jobs/dortmund-herne-it-system-engineer-schwerpunkt-virtualisierung-99750656,xing,2023-04-13 12:21:19,Data Engineer
6,(Senior) Consultant Data Engineer SAS (all genders),Vor 2 Tagen,adesso SE,Dortmund,DEINE SKILLS - DAS BRINGST DU MIT Basierend auf einem abgeschlossenen Studium hast Du als Data Engineer vielfältige Erfahrungen in Data&Analytics Projekten gesammelt,https://www.xing.com/jobs/dortmund-senior-consultant-data-engineer-sas-all-genders-99735413,xing,2023-04-13 12:21:19,Data Engineer
7,(Senior) Machine Learning / AI Engineer (all genders),Vor 2 Tagen,adesso SE,Dortmund,"nicht nur den Data Science-Prozess automatisieren, sondern ganze Infrastrukturen automatisiert bereitstellen.",https://www.xing.com/jobs/dortmund-senior-machine-learning-ai-engineer-all-genders-99719443,xing,2023-04-13 12:21:19,Data Engineer
8,Big Data Engineer (m/w/d),Vor 2 Tagen,ORDIX AG,Münster,"Ihre Aufgaben Zu Ihren Aufgaben gehören die Beratung, der Betrieb und die Problemanalyse einer Big Data Plattform im Hadoop Umfeld Sie administrieren und konfigurieren",https://www.xing.com/jobs/muenster-big-data-engineer-99718081,xing,2023-04-13 12:21:19,Data Engineer
9,Data Engineer (m/w/d),Vor 3 Tagen,Alexander Thamm GmbH,Allendorf,"Mind. 2 Jahre Berufserfahrung als Software Engineer, Softwareentwickler:in, Data Engineer oder ähnlichem Berufsfeld Sehr gute Kenntnisse der Programmiersprachen",https://www.xing.com/jobs/allendorf-data-engineer-99715930,xing,2023-04-13 12:21:19,Data Engineer
10,Senior Data Engineer (m/w/d),Vor 3 Tagen,Alexander Thamm GmbH,Allendorf,"Berufserfahrung als Software Engineer, Softwareentwickler:in, Data Engineer oder ähnlichem Berufsfeld Sehr gute Kenntnisse der Programmiersprachen Python, Java",https://www.xing.com/jobs/allendorf-senior-data-engineer-99715935,xing,2023-04-13 12:21:19,Data Engineer
11,Teamlead Delivery - Schwerpunkt Data Engineering (m/w/d),Vor 3 Tagen,Alexander Thamm GmbH,Allendorf,"Berufserfahrung als Software Engineer, Softwareentwickler:in, Data Engineer oder ähnlichem - möglichst im Consulting-Bereich Zusätzlich mind. drei Jahre Berufserfahrung",https://www.xing.com/jobs/allendorf-teamlead-delivery-schwerpunkt-data-engineering-99715934,xing,2023-04-13 12:21:19,Data Engineer
12,Data Engineer / Cloud Engineer (m/w/d),Vor 3 Tagen,Alexander Thamm GmbH,Allendorf,Deine Aufgaben Data und AI sind dein zu Hause?,https://www.xing.com/jobs/allendorf-data-engineer-cloud-engineer-99715936,xing,2023-04-13 12:21:19,Data Engineer
13,Teamlead Delivery - Schwerpunkt Data Science (m/w/d),Vor 3 Tagen,Alexander Thamm GmbH,Allendorf,"Qualifikation Mind. drei Jahre Berufserfahrung als Data Scientist, StatistikerIn, MathematikerIn, Machine Learning Engineer oder ähnlich, möglichst im Consulting-Bereich",https://www.xing.com/jobs/allendorf-teamlead-delivery-schwerpunkt-data-science-99715923,xing,2023-04-13 12:21:19,Data Engineer
14,Data Visualization Engineer - Fokus Qlik (m/w/d),Vor 3 Tagen,Alexander Thamm GmbH,Allendorf,Deine Aufgaben Data und AI sind dein zu Hause?,https://www.xing.com/jobs/allendorf-data-visualization-engineer-fokus-qlik-99715927,xing,2023-04-13 12:21:19,Data Engineer
15,Expert Data Engineer (m/w/d),Vor 3 Tagen,Alexander Thamm GmbH,Allendorf,"Berufserfahrung als Software Engineer, Softwareentwickler:in, Data Engineer oder ähnlichem Berufsfeld Sehr gute Kenntnisse der Programmiersprachen Python, Java",https://www.xing.com/jobs/allendorf-expert-data-engineer-99715925,xing,2023-04-13 12:21:19,Data Engineer
16,Data Engineer (m/w/d) - Fokus Cloud Engineering,Vor 3 Tagen,Alexander Thamm GmbH,Allendorf,Wir bieten Data bewegt uns!,https://www.xing.com/jobs/allendorf-data-engineer-fokus-cloud-engineering-99715918,xing,2023-04-13 12:21:19,Data Engineer
17,Cloud Data Engineer (all genders),Vor 3 Tagen,adesso SE,Paderborn,"Als Cloud Data Engineer (all genders) bist du Teil eines innovativen und stetig wachsenden Software Engineering Teams, du profitierst von deinen erfahrenen Kolleginnen",https://www.xing.com/jobs/paderborn-cloud-data-engineer-all-genders-99713962,xing,2023-04-13 12:21:19,Data Engineer
18,Cloud Data Engineer (all genders),Vor 3 Tagen,adesso SE,Dortmund,"Als Cloud Data Engineer (all genders) bist du Teil eines innovativen und stetig wachsenden Software Engineering Teams, du profitierst von deinen erfahrenen Kolleginnen",https://www.xing.com/jobs/dortmund-cloud-data-engineer-all-genders-99713965,xing,2023-04-13 12:21:19,Data Engineer
19,Cloud Data Engineer (all genders),Vor 3 Tagen,adesso SE,Münster,"Als Cloud Data Engineer (all genders) bist du Teil eines innovativen und stetig wachsenden Software Engineering Teams, du profitierst von deinen erfahrenen Kolleginnen",https://www.xing.com/jobs/muenster-cloud-data-engineer-all-genders-99713964,xing,2023-04-13 12:21:19,Data Engineer
