,job_title,publish,company,city,description,link,website,date,search_title
0,Cyber Security Engineer - Incident Response (m/w/d),,G DATA CyberDefense AG,,,,xing,2023-07-13 12:25:06,Data Engineer
1,Analytics Engineer - Data Science / Python / JavaScript / Home Office (m/w/d),,Workwise GmbH,,,,xing,2023-07-13 12:25:06,Data Engineer
2,Supply Chain Process Engineer (m/w/d),,flaschenpost SE,,,,xing,2023-07-13 12:25:06,Data Engineer
3,Python Engineer (m/w/d) – Data Science Planning and Steering,,flaschenpost SE,,,,xing,2023-07-13 12:25:06,Data Engineer
4,API - Programmierschnittstellenentwickler & DevOps Engineer m/w/d - Remote,,PBCN GmbH - Personalberatung Christmann/Nowack,,,,xing,2023-07-13 12:25:06,Data Engineer
5,IT Engineer (m/w/d) Endpoint Protection,,DIE JOBMACHER GmbH,,,,xing,2023-07-13 12:25:06,Data Engineer
6,Data Engineer (m/w/d),,Atos SE,,,,xing,2023-07-13 12:25:06,Data Engineer
7,Data Engineer (m/w/d),,ISR Information Products AG,,,,xing,2023-07-13 12:25:06,Data Engineer
8,Big Data Engineer (m/w/d),,ORDIX AG,,,,xing,2023-07-13 12:25:06,Data Engineer
9,R&D Senior Software Engineer (m/f/d),,ABB Deutschland,,,,xing,2023-07-13 12:25:06,Data Engineer
10,Head of Service Operations,,ABB Deutschland,,,,xing,2023-07-13 12:25:06,Data Engineer
11,(Senior) Consultant Data Engineer SAS (all genders),,adesso SE,,,,xing,2023-07-13 12:25:06,Data Engineer
12,Data Engineer (m/w/d) | Dortmund,,ADVERGY GmbH,,,,xing,2023-07-13 12:25:06,Data Engineer
13,(Senior) Machine Learning / AI Engineer (all genders),,adesso SE,,,,xing,2023-07-13 12:25:06,Data Engineer
14,(Senior) Artificial Intelligence Specialist (all genders),,adesso SE,,,,xing,2023-07-13 12:25:06,Data Engineer
15,(Senior) Artificial Intelligence Specialist (all genders),,adesso SE,,,,xing,2023-07-13 12:25:06,Data Engineer
16,(Senior) Artificial Intelligence Specialist (all genders),,adesso SE,,,,xing,2023-07-13 12:25:06,Data Engineer
17,Cloud Data Engineer (all genders),,adesso SE,,,,xing,2023-07-13 12:25:06,Data Engineer
18,Cloud Data Engineer (all genders),,adesso SE,,,,xing,2023-07-13 12:25:06,Data Engineer
19,Cloud Data Engineer (all genders),,adesso SE,,,,xing,2023-07-13 12:25:06,Data Engineer
